21-11-2024 09:51:17 | EASY_prep_Big_down | INFO | Starting EASY_prep_Big_down
21-11-2024 15:20:05 | EASY_Big_down_loop | INFO | На состояние 15:20:05 активных ставок: 0, денег: 51.0$
21-11-2024 15:20:06 | EASY_Big_down_loop | INFO | No active bets. New bet size: 1.7
21-11-2024 15:20:06 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 15:25:05 | EASY_Big_down_loop | INFO | На состояние 15:25:05 активных ставок: 0, денег: 51.0$
21-11-2024 15:25:05 | EASY_Big_down_loop | INFO | No active bets. New bet size: 1.7
21-11-2024 15:25:05 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 15:25:05 | EASY_Big_down_loop | INFO | На состояние 15:25:05 активных ставок: 0, денег: 51.0$
21-11-2024 15:25:06 | EASY_Big_down_loop | INFO | No active bets. New bet size: 1.7
21-11-2024 15:25:06 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 15:30:05 | EASY_Big_down_loop | INFO | На состояние 15:30:05 активных ставок: 0, денег: 51.0$
21-11-2024 15:30:05 | EASY_Big_down_loop | INFO | На состояние 15:30:05 активных ставок: 0, денег: 51.0$
21-11-2024 15:30:05 | EASY_Big_down_loop | INFO | No active bets. New bet size: 1.7
21-11-2024 15:30:05 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 15:30:05 | EASY_Big_down_loop | INFO | No active bets. New bet size: 1.7
21-11-2024 15:30:05 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 15:35:05 | EASY_Big_down_loop | INFO | На состояние 15:35:05 активных ставок: 0, денег: 51.0$
21-11-2024 15:35:05 | EASY_Big_down_loop | INFO | Price change detected: 0.5155390594154596%
21-11-2024 15:35:05 | EASY_Big_down_loop | INFO | На состояние 15:35:05 активных ставок: 0, денег: 51.0$
21-11-2024 15:35:06 | EASY_Big_down_loop | INFO | Price change detected: 0.5155390594154596%
21-11-2024 15:35:06 | EASY_Big_down_loop | INFO | Market buy order placed, ID: C02__488260063585206272038
21-11-2024 15:35:07 | EASY_Big_down_loop | INFO | Market buy order placed, ID: C02__488260065225146386038
21-11-2024 15:35:10 | EASY_Big_down_loop | INFO | Bought KAS: 11.0
21-11-2024 15:35:10 | EASY_Big_down_loop | INFO | Bought KAS: 11.0
21-11-2024 15:35:11 | EASY_Big_down_loop | INFO | Limit sell order placed, ID: C02__488260082706997250038
21-11-2024 15:35:11 | EASY_Big_down_loop | INFO | Limit sell order placed, ID: C02__488260084103708672038
21-11-2024 15:35:11 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 15:35:12 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 15:40:05 | EASY_Big_down_loop | INFO | На состояние 15:40:05 активных ставок: 1, денег: 51.0$
21-11-2024 15:40:05 | EASY_Big_down_loop | INFO | На состояние 15:40:05 активных ставок: 1, денег: 51.0$
21-11-2024 15:40:06 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 15:40:06 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 15:45:05 | EASY_Big_down_loop | INFO | На состояние 15:45:05 активных ставок: 1, денег: 51.0$
21-11-2024 15:45:05 | EASY_Big_down_loop | INFO | На состояние 15:45:05 активных ставок: 1, денег: 51.0$
21-11-2024 15:45:06 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 15:45:06 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 15:50:05 | EASY_Big_down_loop | INFO | На состояние 15:50:05 активных ставок: 1, денег: 51.0$
21-11-2024 15:50:05 | EASY_Big_down_loop | INFO | На состояние 15:50:05 активных ставок: 1, денег: 51.0$
21-11-2024 15:50:07 | EASY_Big_down_loop | INFO | Success! Got 0.006979999999999986usdt intrade C02__488260084103708672038
21-11-2024 15:50:07 | EASY_Big_down_loop | INFO | Bet C02__488260065225146386038 completed and removed.
21-11-2024 15:50:07 | EASY_Big_down_loop | INFO | No active bets. New bet size: 1.7
21-11-2024 15:50:07 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 15:50:07 | EASY_Big_down_loop | INFO | Success! Got 0.006979999999999986usdt intrade C02__488260082706997250038
21-11-2024 15:50:07 | EASY_Big_down_loop | INFO | Bet C02__488260063585206272038 completed and removed.
21-11-2024 15:50:07 | EASY_Big_down_loop | INFO | No active bets. New bet size: 1.7
21-11-2024 15:50:07 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 15:55:05 | EASY_Big_down_loop | INFO | На состояние 15:55:05 активных ставок: 0, денег: 51.007$
21-11-2024 15:55:05 | EASY_Big_down_loop | INFO | На состояние 15:55:05 активных ставок: 0, денег: 51.007$
21-11-2024 15:55:05 | EASY_Big_down_loop | INFO | No active bets. New bet size: 1.7
21-11-2024 15:55:05 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 15:55:05 | EASY_Big_down_loop | INFO | No active bets. New bet size: 1.7
21-11-2024 15:55:05 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 16:00:05 | EASY_Big_down_loop | INFO | На состояние 16:00:05 активных ставок: 0, денег: 51.007$
21-11-2024 16:00:05 | EASY_Big_down_loop | INFO | На состояние 16:00:05 активных ставок: 0, денег: 51.007$
21-11-2024 16:00:05 | EASY_Big_down_loop | INFO | Price change detected: 1.3329524546861649%
21-11-2024 16:00:06 | EASY_Big_down_loop | INFO | Price change detected: 1.3329524546861649%
21-11-2024 16:00:06 | EASY_Big_down_loop | INFO | Market buy order placed, ID: C02__488266354584006657038
21-11-2024 16:00:06 | EASY_Big_down_loop | INFO | Market buy order placed, ID: C02__488266355640950785038
21-11-2024 16:00:10 | EASY_Big_down_loop | INFO | Bought KAS: 11.03
21-11-2024 16:00:10 | EASY_Big_down_loop | INFO | Bought KAS: 11.03
21-11-2024 16:00:10 | EASY_Big_down_loop | INFO | Limit sell order placed, ID: C02__488266372455931904038
21-11-2024 16:00:10 | EASY_Big_down_loop | INFO | Limit sell order placed, ID: C02__488266373408051200038
21-11-2024 16:00:11 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 16:00:11 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 16:05:05 | EASY_Big_down_loop | INFO | На состояние 16:05:05 активных ставок: 1, денег: 51.007$
21-11-2024 16:05:05 | EASY_Big_down_loop | INFO | На состояние 16:05:05 активных ставок: 1, денег: 51.007$
21-11-2024 16:05:06 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 16:05:06 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 16:10:05 | EASY_Big_down_loop | INFO | На состояние 16:10:05 активных ставок: 1, денег: 51.007$
21-11-2024 16:10:05 | EASY_Big_down_loop | INFO | На состояние 16:10:05 активных ставок: 1, денег: 51.007$
21-11-2024 16:10:07 | EASY_Big_down_loop | INFO | Success! Got 0.02283085000000007usdt intrade C02__488266372455931904038
21-11-2024 16:10:07 | EASY_Big_down_loop | INFO | Bet C02__488266354584006657038 completed and removed.
21-11-2024 16:10:07 | EASY_Big_down_loop | INFO | No active bets. New bet size: 1.7
21-11-2024 16:10:07 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 16:10:07 | EASY_Big_down_loop | INFO | Success! Got 0.02283085000000007usdt intrade C02__488266373408051200038
21-11-2024 16:10:07 | EASY_Big_down_loop | INFO | Bet C02__488266355640950785038 completed and removed.
21-11-2024 16:10:07 | EASY_Big_down_loop | INFO | No active bets. New bet size: 1.7
21-11-2024 16:10:07 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 16:15:05 | EASY_Big_down_loop | INFO | На состояние 16:15:05 активных ставок: 0, денег: 51.03$
21-11-2024 16:15:05 | EASY_Big_down_loop | INFO | На состояние 16:15:05 активных ставок: 0, денег: 51.03$
21-11-2024 16:15:05 | EASY_Big_down_loop | INFO | No active bets. New bet size: 1.7
21-11-2024 16:15:05 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 16:15:05 | EASY_Big_down_loop | INFO | No active bets. New bet size: 1.7
21-11-2024 16:15:05 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 16:20:05 | EASY_Big_down_loop | INFO | На состояние 16:20:05 активных ставок: 0, денег: 51.03$
21-11-2024 16:20:05 | EASY_Big_down_loop | INFO | На состояние 16:20:05 активных ставок: 0, денег: 51.03$
21-11-2024 16:20:06 | EASY_Big_down_loop | INFO | No active bets. New bet size: 1.7
21-11-2024 16:20:06 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 16:20:06 | EASY_Big_down_loop | INFO | No active bets. New bet size: 1.7
21-11-2024 16:20:06 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 16:25:05 | EASY_Big_down_loop | INFO | На состояние 16:25:05 активных ставок: 0, денег: 51.03$
21-11-2024 16:25:05 | EASY_Big_down_loop | INFO | На состояние 16:25:05 активных ставок: 0, денег: 51.03$
21-11-2024 16:25:05 | EASY_Big_down_loop | INFO | No active bets. New bet size: 1.7
21-11-2024 16:25:05 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 16:25:05 | EASY_Big_down_loop | INFO | No active bets. New bet size: 1.7
21-11-2024 16:25:05 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 16:30:05 | EASY_Big_down_loop | INFO | На состояние 16:30:05 активных ставок: 0, денег: 51.03$
21-11-2024 16:30:05 | EASY_Big_down_loop | INFO | На состояние 16:30:05 активных ставок: 0, денег: 51.03$
21-11-2024 16:30:05 | EASY_Big_down_loop | INFO | No active bets. New bet size: 1.7
21-11-2024 16:30:05 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 16:30:05 | EASY_Big_down_loop | INFO | No active bets. New bet size: 1.7
21-11-2024 16:30:05 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 16:35:05 | EASY_Big_down_loop | INFO | На состояние 16:35:05 активных ставок: 0, денег: 51.03$
21-11-2024 16:35:05 | EASY_Big_down_loop | INFO | На состояние 16:35:05 активных ставок: 0, денег: 51.03$
21-11-2024 16:35:05 | EASY_Big_down_loop | INFO | Price change detected: 0.4918698687106371%
21-11-2024 16:35:06 | EASY_Big_down_loop | INFO | Price change detected: 0.4918698687106371%
21-11-2024 16:35:06 | EASY_Big_down_loop | INFO | Market buy order placed, ID: C02__488275162848911360038
21-11-2024 16:35:06 | EASY_Big_down_loop | INFO | Market buy order placed, ID: C02__488275163150888960038
21-11-2024 16:35:10 | EASY_Big_down_loop | INFO | Bought KAS: 10.91
21-11-2024 16:35:10 | EASY_Big_down_loop | INFO | Bought KAS: 10.91
21-11-2024 16:35:10 | EASY_Big_down_loop | INFO | Limit sell order placed, ID: C02__488275181354168324038
21-11-2024 16:35:11 | EASY_Big_down_loop | INFO | Limit sell order placed, ID: C02__488275181626814464038
21-11-2024 16:35:11 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 16:35:11 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 16:40:05 | EASY_Big_down_loop | INFO | На состояние 16:40:05 активных ставок: 1, денег: 51.03$
21-11-2024 16:40:05 | EASY_Big_down_loop | INFO | На состояние 16:40:05 активных ставок: 1, денег: 51.03$
21-11-2024 16:40:07 | EASY_Big_down_loop | INFO | Success! Got 0.007916860000000137usdt intrade C02__488275181626814464038
21-11-2024 16:40:07 | EASY_Big_down_loop | INFO | Bet C02__488275163150888960038 completed and removed.
21-11-2024 16:40:07 | EASY_Big_down_loop | INFO | No active bets. New bet size: 1.7
21-11-2024 16:40:07 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 16:40:07 | EASY_Big_down_loop | INFO | Success! Got 0.007916860000000137usdt intrade C02__488275181354168324038
21-11-2024 16:40:07 | EASY_Big_down_loop | INFO | Bet C02__488275162848911360038 completed and removed.
21-11-2024 16:40:07 | EASY_Big_down_loop | INFO | No active bets. New bet size: 1.7
21-11-2024 16:40:07 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 16:45:05 | EASY_Big_down_loop | INFO | На состояние 16:45:05 активных ставок: 0, денег: 51.038$
21-11-2024 16:45:05 | EASY_Big_down_loop | INFO | No active bets. New bet size: 1.7
21-11-2024 16:45:05 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 16:45:05 | EASY_Big_down_loop | INFO | На состояние 16:45:05 активных ставок: 0, денег: 51.038$
21-11-2024 16:45:05 | EASY_Big_down_loop | INFO | No active bets. New bet size: 1.7
21-11-2024 16:45:05 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 16:50:05 | EASY_Big_down_loop | INFO | На состояние 16:50:05 активных ставок: 0, денег: 51.038$
21-11-2024 16:50:05 | EASY_Big_down_loop | INFO | No active bets. New bet size: 1.7
21-11-2024 16:50:05 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 16:50:05 | EASY_Big_down_loop | INFO | На состояние 16:50:05 активных ставок: 0, денег: 51.038$
21-11-2024 16:50:06 | EASY_Big_down_loop | INFO | No active bets. New bet size: 1.7
21-11-2024 16:50:06 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 16:55:05 | EASY_Big_down_loop | INFO | На состояние 16:55:05 активных ставок: 0, денег: 51.038$
21-11-2024 16:55:05 | EASY_Big_down_loop | INFO | No active bets. New bet size: 1.7
21-11-2024 16:55:05 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 16:55:05 | EASY_Big_down_loop | INFO | На состояние 16:55:05 активных ставок: 0, денег: 51.038$
21-11-2024 16:55:06 | EASY_Big_down_loop | INFO | No active bets. New bet size: 1.7
21-11-2024 16:55:06 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 17:00:05 | EASY_Big_down_loop | INFO | На состояние 17:00:05 активных ставок: 0, денег: 51.038$
21-11-2024 17:00:05 | EASY_Big_down_loop | INFO | No active bets. New bet size: 1.7
21-11-2024 17:00:05 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 17:00:05 | EASY_Big_down_loop | INFO | На состояние 17:00:05 активных ставок: 0, денег: 51.038$
21-11-2024 17:00:05 | EASY_Big_down_loop | INFO | No active bets. New bet size: 1.7
21-11-2024 17:00:05 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 17:05:05 | EASY_Big_down_loop | INFO | На состояние 17:05:05 активных ставок: 0, денег: 51.038$
21-11-2024 17:05:05 | EASY_Big_down_loop | INFO | No active bets. New bet size: 1.7
21-11-2024 17:05:05 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 17:05:05 | EASY_Big_down_loop | INFO | На состояние 17:05:05 активных ставок: 0, денег: 51.038$
21-11-2024 17:05:06 | EASY_Big_down_loop | INFO | No active bets. New bet size: 1.7
21-11-2024 17:05:06 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 17:10:05 | EASY_Big_down_loop | INFO | На состояние 17:10:05 активных ставок: 0, денег: 51.038$
21-11-2024 17:10:05 | EASY_Big_down_loop | INFO | Price change detected: 0.5724338348954916%
21-11-2024 17:10:05 | EASY_Big_down_loop | INFO | На состояние 17:10:05 активных ставок: 0, денег: 51.038$
21-11-2024 17:10:06 | EASY_Big_down_loop | INFO | Market buy order placed, ID: C02__488283968802729985038
21-11-2024 17:10:06 | EASY_Big_down_loop | INFO | Price change detected: 0.5724338348954916%
21-11-2024 17:10:06 | EASY_Big_down_loop | INFO | Market buy order placed, ID: C02__488283971499679744038
21-11-2024 17:10:09 | EASY_Big_down_loop | INFO | Bought KAS: 10.96
21-11-2024 17:10:10 | EASY_Big_down_loop | INFO | Limit sell order placed, ID: C02__488283987349946370038
21-11-2024 17:10:10 | EASY_Big_down_loop | INFO | Bought KAS: 10.96
21-11-2024 17:10:11 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 17:10:11 | EASY_Big_down_loop | INFO | Limit sell order placed, ID: C02__488283989837172736038
21-11-2024 17:10:11 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 17:15:05 | EASY_Big_down_loop | INFO | На состояние 17:15:05 активных ставок: 1, денег: 51.038$
21-11-2024 17:15:05 | EASY_Big_down_loop | INFO | На состояние 17:15:05 активных ставок: 1, денег: 51.038$
21-11-2024 17:15:05 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 17:15:06 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 17:20:05 | EASY_Big_down_loop | INFO | На состояние 17:20:05 активных ставок: 1, денег: 51.038$
21-11-2024 17:20:05 | EASY_Big_down_loop | INFO | На состояние 17:20:05 активных ставок: 1, денег: 51.038$
21-11-2024 17:20:06 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 17:20:07 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 17:25:05 | EASY_Big_down_loop | INFO | На состояние 17:25:05 активных ставок: 1, денег: 51.038$
21-11-2024 17:25:05 | EASY_Big_down_loop | INFO | Price change detected: 0.9696872904896736%
21-11-2024 17:25:05 | EASY_Big_down_loop | INFO | На состояние 17:25:05 активных ставок: 1, денег: 51.038$
21-11-2024 17:25:06 | EASY_Big_down_loop | INFO | Price change detected: 0.9696872904896736%
21-11-2024 17:25:06 | EASY_Big_down_loop | INFO | Market buy order placed, ID: C02__488287745035304960038
21-11-2024 17:25:07 | EASY_Big_down_loop | INFO | Market buy order placed, ID: C02__488287748495589376038
21-11-2024 17:25:10 | EASY_Big_down_loop | INFO | Bought KAS: 11.07
21-11-2024 17:25:11 | EASY_Big_down_loop | INFO | Limit sell order placed, ID: C02__488287764895330304038
21-11-2024 17:25:11 | EASY_Big_down_loop | INFO | Bought KAS: 11.07
21-11-2024 17:25:12 | EASY_Big_down_loop | INFO | Limit sell order placed, ID: C02__488287768460464128038
21-11-2024 17:25:13 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 17:25:13 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 17:30:05 | EASY_Big_down_loop | INFO | На состояние 17:30:05 активных ставок: 2, денег: 51.038$
21-11-2024 17:30:05 | EASY_Big_down_loop | INFO | Price change detected: 0.7733079139143229%
21-11-2024 17:30:05 | EASY_Big_down_loop | INFO | На состояние 17:30:05 активных ставок: 2, денег: 51.038$
21-11-2024 17:30:05 | EASY_Big_down_loop | INFO | Price change detected: 0.7733079139143229%
21-11-2024 17:30:06 | EASY_Big_down_loop | INFO | Market buy order placed, ID: C02__488289003037073438038
21-11-2024 17:30:06 | EASY_Big_down_loop | INFO | Market buy order placed, ID: C02__488289004903526400038
21-11-2024 17:30:10 | EASY_Big_down_loop | INFO | Bought KAS: 11.15
21-11-2024 17:30:10 | EASY_Big_down_loop | INFO | Bought KAS: 11.15
21-11-2024 17:30:11 | EASY_Big_down_loop | INFO | Limit sell order placed, ID: C02__488289023740170240038
21-11-2024 17:30:11 | EASY_Big_down_loop | INFO | Limit sell order placed, ID: C02__488289024520290304038
21-11-2024 17:30:13 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 17:30:13 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 17:35:05 | EASY_Big_down_loop | INFO | На состояние 17:35:05 активных ставок: 3, денег: 51.038$
21-11-2024 17:35:05 | EASY_Big_down_loop | INFO | На состояние 17:35:05 активных ставок: 3, денег: 51.038$
21-11-2024 17:35:06 | EASY_Big_down_loop | INFO | Price change detected: 0.7675161119550467%
21-11-2024 17:35:06 | EASY_Big_down_loop | INFO | Price change detected: 0.7675161119550467%
21-11-2024 17:35:06 | EASY_Big_down_loop | INFO | Market buy order placed, ID: C02__488290263467356160038
21-11-2024 17:35:07 | EASY_Big_down_loop | INFO | Market buy order placed, ID: C02__488290265551945728038
21-11-2024 17:35:10 | EASY_Big_down_loop | INFO | Bought KAS: 11.24
21-11-2024 17:35:11 | EASY_Big_down_loop | INFO | Bought KAS: 11.24
21-11-2024 17:35:11 | EASY_Big_down_loop | INFO | Limit sell order placed, ID: C02__488290284300480513038
21-11-2024 17:35:11 | EASY_Big_down_loop | INFO | Limit sell order placed, ID: C02__488290284766031876038
21-11-2024 17:35:15 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 17:35:15 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 17:40:05 | EASY_Big_down_loop | INFO | На состояние 17:40:05 активных ставок: 4, денег: 51.038$
21-11-2024 17:40:05 | EASY_Big_down_loop | INFO | На состояние 17:40:05 активных ставок: 4, денег: 51.038$
21-11-2024 17:40:05 | EASY_Big_down_loop | INFO | Price change detected: 0.6186338141560555%
21-11-2024 17:40:05 | EASY_Big_down_loop | INFO | Price change detected: 0.6186338141560555%
21-11-2024 17:40:06 | EASY_Big_down_loop | INFO | Market buy order placed, ID: C02__488291520030498816038
21-11-2024 17:40:06 | EASY_Big_down_loop | INFO | Market buy order placed, ID: C02__488291521037131777038
21-11-2024 17:40:10 | EASY_Big_down_loop | INFO | Bought KAS: 11.3
21-11-2024 17:40:10 | EASY_Big_down_loop | INFO | Bought KAS: 11.3
21-11-2024 17:40:11 | EASY_Big_down_loop | INFO | Limit sell order placed, ID: C02__488291540351922176038
21-11-2024 17:40:11 | EASY_Big_down_loop | INFO | Limit sell order placed, ID: C02__488291540779720705038
21-11-2024 17:40:15 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 17:40:15 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 17:45:05 | EASY_Big_down_loop | INFO | На состояние 17:45:05 активных ставок: 5, денег: 51.038$
21-11-2024 17:45:05 | EASY_Big_down_loop | INFO | На состояние 17:45:05 активных ставок: 5, денег: 51.038$
21-11-2024 17:45:11 | EASY_Big_down_loop | INFO | Success! Got 0.007881999999999945usdt intrade C02__488291540779720705038
21-11-2024 17:45:11 | EASY_Big_down_loop | INFO | Bet C02__488291520030498816038 completed and removed.
21-11-2024 17:45:11 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 17:45:11 | EASY_Big_down_loop | INFO | Success! Got 0.007881999999999945usdt intrade C02__488291540351922176038
21-11-2024 17:45:11 | EASY_Big_down_loop | INFO | Bet C02__488291521037131777038 completed and removed.
21-11-2024 17:45:11 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 17:50:05 | EASY_Big_down_loop | INFO | На состояние 17:50:05 активных ставок: 4, денег: 51.046$
21-11-2024 17:50:05 | EASY_Big_down_loop | INFO | На состояние 17:50:05 активных ставок: 4, денег: 51.046$
21-11-2024 17:50:08 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 17:50:09 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 17:55:05 | EASY_Big_down_loop | INFO | На состояние 17:55:05 активных ставок: 4, денег: 51.046$
21-11-2024 17:55:05 | EASY_Big_down_loop | INFO | На состояние 17:55:05 активных ставок: 4, денег: 51.046$
21-11-2024 17:55:05 | EASY_Big_down_loop | INFO | Price change detected: 0.7177457213401794%
21-11-2024 17:55:06 | EASY_Big_down_loop | INFO | Price change detected: 0.7177457213401794%
21-11-2024 17:55:06 | EASY_Big_down_loop | INFO | Market buy order placed, ID: C02__488295296137228288038
21-11-2024 17:55:06 | EASY_Big_down_loop | INFO | Market buy order placed, ID: C02__488295296363753472038
21-11-2024 17:55:10 | EASY_Big_down_loop | INFO | Bought KAS: 11.28
21-11-2024 17:55:10 | EASY_Big_down_loop | INFO | Bought KAS: 11.28
21-11-2024 17:55:11 | EASY_Big_down_loop | INFO | Limit sell order placed, ID: C02__488295315699503104038
21-11-2024 17:55:11 | EASY_Big_down_loop | INFO | Limit sell order placed, ID: C02__488295316030832640038
21-11-2024 17:55:15 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 17:55:15 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 18:00:05 | EASY_Big_down_loop | INFO | На состояние 18:00:05 активных ставок: 5, денег: 51.046$
21-11-2024 18:00:05 | EASY_Big_down_loop | INFO | На состояние 18:00:05 активных ставок: 5, денег: 51.046$
21-11-2024 18:00:10 | EASY_Big_down_loop | INFO | Success! Got 0.013014639999999966usdt intrade C02__488295316030832640038
21-11-2024 18:00:10 | EASY_Big_down_loop | INFO | Bet C02__488295296137228288038 completed and removed.
21-11-2024 18:00:10 | EASY_Big_down_loop | INFO | Starting iteration
