21-11-2024 15:20:05 | sync_wrapper | WARNING | EASY_Big_down_loop failure || exception: 1 validation error for Bets
  Invalid JSON: EOF while parsing a value at line 1 column 0 [type=json_invalid, input_value=b'', input_type=bytes]
    For further information visit https://errors.pydantic.dev/2.9/v/json_invalid
21-11-2024 15:23:06 | market_buy | INFO | Market buy success || symbol: KASUSDT; orderId: C02__488257043094888449038; orderListId: -1; price: 0.162004; origQty: 0; type: MARKET; side: BUY; transactTime: 1732191786317
21-11-2024 15:23:06 | market_buy | INFO | Market buy success || symbol: KASUSDT; orderId: C02__488257043266871296038; orderListId: -1; price: 0.161928; origQty: 0; type: MARKET; side: BUY; transactTime: 1732191786358
21-11-2024 15:34:06 | market_buy | INFO | Market buy success || symbol: KASUSDT; orderId: C02__488259812732264448038; orderListId: -1; price: 0.162671; origQty: 0; type: MARKET; side: BUY; transactTime: 1732192446650
21-11-2024 15:34:06 | market_buy | INFO | Market buy success || symbol: KASUSDT; orderId: C02__488259813214609408038; orderListId: -1; price: 0.162671; origQty: 0; type: MARKET; side: BUY; transactTime: 1732192446765
21-11-2024 15:35:06 | market_buy | INFO | Market buy success || symbol: KASUSDT; orderId: C02__488260062360432642038; orderListId: -1; price: 0.162122; origQty: 0; type: MARKET; side: BUY; transactTime: 1732192506166
21-11-2024 15:35:06 | market_buy | INFO | Market buy success || symbol: KASUSDT; orderId: C02__488260062746341414038; orderListId: -1; price: 0.162046; origQty: 0; type: MARKET; side: BUY; transactTime: 1732192506258
21-11-2024 15:35:06 | market_buy | INFO | Market buy success || symbol: KASUSDT; orderId: C02__488260063585206272038; orderListId: -1; price: 0.16219; origQty: 0; type: MARKET; side: BUY; transactTime: 1732192506458
21-11-2024 15:35:07 | market_buy | INFO | Market buy success || symbol: KASUSDT; orderId: C02__488260065225146386038; orderListId: -1; price: 0.16219; origQty: 0; type: MARKET; side: BUY; transactTime: 1732192506849
21-11-2024 15:38:06 | market_buy | INFO | Market buy success || symbol: KASUSDT; orderId: C02__488260817305792518038; orderListId: -1; price: 0.162092; origQty: 0; type: MARKET; side: BUY; transactTime: 1732192686159
21-11-2024 15:38:06 | market_buy | INFO | Market buy success || symbol: KASUSDT; orderId: C02__488260820078260224038; orderListId: -1; price: 0.162195; origQty: 0; type: MARKET; side: BUY; transactTime: 1732192686820
21-11-2024 15:44:06 | market_buy | INFO | Market buy success || symbol: KASUSDT; orderId: C02__488262327817293824038; orderListId: -1; price: 0.161805; origQty: 0; type: MARKET; side: BUY; transactTime: 1732193046293
21-11-2024 15:44:06 | market_buy | INFO | Market buy success || symbol: KASUSDT; orderId: C02__488262328278675456038; orderListId: -1; price: 0.161805; origQty: 0; type: MARKET; side: BUY; transactTime: 1732193046403
21-11-2024 15:46:06 | market_buy | INFO | Market buy success || symbol: KASUSDT; orderId: C02__488262830219399169038; orderListId: -1; price: 0.162201; origQty: 0; type: MARKET; side: BUY; transactTime: 1732193166075
21-11-2024 15:46:06 | market_buy | INFO | Market buy success || symbol: KASUSDT; orderId: C02__488262832769568782038; orderListId: -1; price: 0.162202; origQty: 0; type: MARKET; side: BUY; transactTime: 1732193166683
21-11-2024 15:52:06 | market_buy | INFO | Market buy success || symbol: KASUSDT; orderId: C02__488264340110110722038; orderListId: -1; price: 0.163718; origQty: 0; type: MARKET; side: BUY; transactTime: 1732193526061
21-11-2024 15:52:06 | market_buy | INFO | Market buy success || symbol: KASUSDT; orderId: C02__488264341120950272038; orderListId: -1; price: 0.163714; origQty: 0; type: MARKET; side: BUY; transactTime: 1732193526302
21-11-2024 15:58:06 | market_buy | INFO | Market buy success || symbol: KASUSDT; orderId: C02__488265850084728832038; orderListId: -1; price: 0.162931; origQty: 0; type: MARKET; side: BUY; transactTime: 1732193886067
21-11-2024 15:58:06 | market_buy | INFO | Market buy success || symbol: KASUSDT; orderId: C02__488265850348998663038; orderListId: -1; price: 0.163033; origQty: 0; type: MARKET; side: BUY; transactTime: 1732193886130
21-11-2024 15:59:05 | market_buy | INFO | Market buy success || symbol: KASUSDT; orderId: C02__488266100803432449038; orderListId: -1; price: 0.162167; origQty: 0; type: MARKET; side: BUY; transactTime: 1732193945843
21-11-2024 15:59:05 | market_buy | INFO | Market buy success || symbol: KASUSDT; orderId: C02__488266100824440833038; orderListId: -1; price: 0.16234; origQty: 0; type: MARKET; side: BUY; transactTime: 1732193945848
21-11-2024 16:00:06 | market_buy | INFO | Market buy success || symbol: KASUSDT; orderId: C02__488266353799671810038; orderListId: -1; price: 0.161955; origQty: 0; type: MARKET; side: BUY; transactTime: 1732194006162
21-11-2024 16:00:06 | market_buy | INFO | Market buy success || symbol: KASUSDT; orderId: C02__488266353879371776038; orderListId: -1; price: 0.161955; origQty: 0; type: MARKET; side: BUY; transactTime: 1732194006181
21-11-2024 16:00:06 | market_buy | INFO | Market buy success || symbol: KASUSDT; orderId: C02__488266354584006657038; orderListId: -1; price: 0.1617; origQty: 0; type: MARKET; side: BUY; transactTime: 1732194006349
21-11-2024 16:00:06 | market_buy | INFO | Market buy success || symbol: KASUSDT; orderId: C02__488266355640950785038; orderListId: -1; price: 0.161655; origQty: 0; type: MARKET; side: BUY; transactTime: 1732194006601
21-11-2024 16:03:06 | market_buy | INFO | Market buy success || symbol: KASUSDT; orderId: C02__488267107583201280038; orderListId: -1; price: 0.162839; origQty: 0; type: MARKET; side: BUY; transactTime: 1732194185878
