21-11-2024 15:18:05 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 15:19:05 | EASY_Big_down_loop | INFO | На состояние 15:19:05 активных ставок: 0, денег: 51.0$
21-11-2024 15:19:05 | EASY_Big_down_loop | INFO | На состояние 15:19:05 активных ставок: 0, денег: 51.0$
21-11-2024 15:19:06 | EASY_Big_down_loop | INFO | No active bets. New bet size: 1.7
21-11-2024 15:19:06 | EASY_Big_down_loop | INFO | No active bets. New bet size: 1.7
21-11-2024 15:19:06 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 15:19:06 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 15:20:05 | EASY_Big_down_loop | INFO | На состояние 15:20:05 активных ставок: 0, денег: 51.0$
21-11-2024 15:20:05 | EASY_Big_down_loop | INFO | На состояние 15:20:05 активных ставок: 0, денег: 51.0$
21-11-2024 15:20:05 | EASY_Big_down_loop | INFO | No active bets. New bet size: 1.7
21-11-2024 15:20:05 | EASY_Big_down_loop | INFO | No active bets. New bet size: 1.7
21-11-2024 15:20:05 | EASY_Big_down_loop | ERROR | Error loading bets file: 1 validation error for Bets
  Invalid JSON: EOF while parsing a value at line 1 column 0 [type=json_invalid, input_value=b'', input_type=bytes]
    For further information visit https://errors.pydantic.dev/2.9/v/json_invalid
21-11-2024 15:20:05 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 15:20:35 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 15:21:05 | EASY_Big_down_loop | INFO | На состояние 15:21:05 активных ставок: 0, денег: 51.0$
21-11-2024 15:21:05 | EASY_Big_down_loop | INFO | На состояние 15:21:05 активных ставок: 0, денег: 51.0$
21-11-2024 15:21:05 | EASY_Big_down_loop | INFO | No active bets. New bet size: 1.7
21-11-2024 15:21:05 | EASY_Big_down_loop | INFO | No active bets. New bet size: 1.7
21-11-2024 15:21:05 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 15:21:05 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 15:22:05 | EASY_Big_down_loop | INFO | На состояние 15:22:05 активных ставок: 0, денег: 51.0$
21-11-2024 15:22:05 | EASY_Big_down_loop | INFO | На состояние 15:22:05 активных ставок: 0, денег: 51.0$
21-11-2024 15:22:06 | EASY_Big_down_loop | INFO | No active bets. New bet size: 1.7
21-11-2024 15:22:06 | EASY_Big_down_loop | INFO | No active bets. New bet size: 1.7
21-11-2024 15:22:06 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 15:22:06 | EASY_Big_down_loop | INFO | Starting iteration
